YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201709,107632500000000.0,125478438610.43965,0.0011658043677368792,1643018511755.6997,0.015265078036426728,1904048799906.9119,0.017690277563997044,2905264297678.181,0.026992444639659777,4514576952048.768,0.04194436580074576,0.0,0.0
201710,101332600000000.0,870707400475.4225,0.008592569424601978,1457953431470.9404,0.01438780245913892,2785614530956.1235,0.0274898160212619,3323754209140.9575,0.03280044338288919,6057487177956.554,0.059778266598869007,0.0,0.0
201711,97812900000000.0,350233559043.5381,0.0035806479415653567,1733391078290.0315,0.01772149765818242,3467803898090.6084,0.035453441193243514,4185320857617.561,0.042789047841517436,8302335744458.257,0.08487976273536779,0.0,0.0
201712,98373850000000.0,460766280209.95294,0.004683828885521437,1378490808231.1743,0.014012776853108568,4498410651697.334,0.045727707634674604,2659207746452.816,0.027031652684659752,5220749755908.72,0.05307050355260793,0.0,0.0
201801,99757750000000.0,301697012176.35986,0.0030242964799863654,1265856089889.4927,0.012689300729913141,4331251675499.077,0.0434176961238508,2894100791268.6045,0.02901128775727805,5202847126961.464,0.05215481631213077,0.0,0.0
201802,99609850000000.0,182533745409.029,0.0018324869017374184,887602062873.5532,0.008910786060550771,3887051692565.2925,0.0390227642403366,2829861410048.151,0.028409453583638073,4049473089103.9717,0.04065333989664648,0.0,0.0
201803,98334600000000.0,297368972414.667,0.0030240522910010004,1005110329931.8441,0.010221329317776695,2122880018676.687,0.02158833227243195,3129033465701.4053,0.031820269424001374,2979907213275.3945,0.030303750798553047,0.0,0.0
201804,95400200000000.0,124212109921.62524,0.0013020110012518344,1692108177691.868,0.0177369458103009,3553725938916.2363,0.03725071791166304,4967752802735.967,0.05207277136458799,4627419220734.301,0.04850534087700341,0.0,0.0
201805,94599500000000.0,1166286641674.9407,0.012328676596334449,2873338202450.0493,0.030373714474707048,5963644817957.411,0.06304097609350379,5228452091505.443,0.055269341714337214,6364309598173.153,0.06727635556396337,0.0,0.0
201806,99950400000000.0,561294100543.0702,0.005615726405727943,1598085029131.5254,0.015988780726555626,5023427425510.381,0.05025920281970238,3689605470030.026,0.03691436422495584,4561469474784.995,0.04563733086395848,0.0,0.0
